browser_id,time_on_site,timestamp,isp,geonetworkcity,date,totals.uniquescreenviews,totals.timeonscreen,hits.isinteraction,hits.promotionactioninfopromoisclick,totals.screenviews,trafficsourcemedium,trafficsourcerefferalpath,device.browser,device.devicecategory,device.mobiledevicebranding,device.ismobile,promo_cateogry,totalspageviews,phone_no,customer_segment,gender,number_of_children,income,marital_status,vehicle_type,owns_vehicle,accomodation_status_rented_own,owns_house,occupation,credit_score,customer_transactions_using_mobile_banking,customer_transactions_using_internet_banking,customer_transactions_using_mobile_wallet,length_of_the_customer’s_relationship_with_the_bank,educational_status,home_city_or_province,age,employed_or_business,address_type_permanent_temporary,type_of_card_held,date_of_card_issue,spending_on_credit_card_in_jan,spending_on_credit_card_in_feb,spending_on_credit_card_in_mar,spending_on_credit_card_in_apr,spending_on_credit_card_in_may,spending_on_credit_card_in_june,spending_on_credit_card_in_july,spending_on_credit_card_in_aug,spending_on_credit_card_in_sep,spending_on_credit_card_in_oct,spending_on_credit_card_in_nov,spending_on_credit_card_in_dec,transactions_jan,transactions_feb,transactions_mar,transactions_apr,transactions_may,transactions_june,transactions_july,transactions_aug,transactions_sep,transactions_oct,transactions_nov,transactions_dec,max_transaction_amount,category_of_max_number_of_transaction,category_of_max_spend_amount,atm_transaction_amount_yearly,no_of_atm_transaction_yearly,savings_accounts,current_accounts,salary_accounts,millennia_cards,credit_cards,debit_cards,prepaid_cards,forex_cards,commercial_credit_cards,fixed_deposit,non_withdrawal_deposits,home_loan,personal_loan,business_growth_loan,two_wheeler_loan,easyemi_consumer_loan,bike_loan,car_loan,educational_loan,motor_insurance,home_insurance,domestic_help_insurance,travel_insurance,medical_insurance,savings_accounts_amount,savings_accounts_interest_rate,savings_accounts_number_of_times_debited,savings_accounts_maximum_amt_debited,current_accounts_amount,current_accounts_interest_rate,current_accounts_number_of_times_debited,current_accounts_maximum_amt_debited,salary_accounts_amount,salary_accounts_interest_rate,salary_accounts_number_of_times_debited,salary_accounts_maximum_amt_debited,fd_amount,fd_interest_rate,non_withdrawl_deposit_amount,non_withdrawl_deposit_interest_rate,twl_Principal amount,twl_Loan to value of asset,twl_Date of loan disbursement,twl_Manufacturer details,twl_Dealer name,twl_Dealer location,twl_Amount paid,bike_twl_Principal amount,bike_twl_Loan to value of asset,bike_twl_Date of loan disbursement,bike_twl_Manufacturer details,bike_twl_Dealer name,bike_twl_Dealer location,bike_twl_Amount paid,car_Principal amount,car_Loan to value of asset,car_Date of loan disbursement,car_Manufacturer details,car_Dealer name,car_Dealer location,car_Amount paid,home_Principal amount,home_Loan to value of asset,home_Date of loan disbursement,home_Amount paid,personal_Principal amount,personal_Loan to value of asset,personal_Date of loan disbursement,personal_Amount paid,personal_purpose_category,business_Principal amount,business_Loan to value of asset,business_Date of loan disbursement,business_Amount paid,business_category,easyemi_Principal amount,easyemi_Loan to value of asset,easyemi_Date of loan disbursement,easyemi_Amount paid,easyemi_purpose_category,easyemi_dealer_name,easyemi_dealer_location,easyemi_product_manufacturer,edu_Principal amount,edu_Loan to value of asset,edu_Date of loan disbursement,edu_Amount paid,credit_card_Date of card issue,credit_card_Average spendings,credit_card_no_of_transactions,credit_card_max_spent_category,credit_card_max_trans_category,debit_card_Date of card issue,debit_card_Average spendings,debit_card_no_of_transactions,debit_card_max_spent_category,debit_card_max_trans_category,millennia_cards_Date of card issue,millennia_cards_Average spendings,millennia_cards_no_of_transactions,prepaid_cards_Date of card issue,prepaid_cards_Average spendings,prepaid_cards_no_of_transactions,forex_cards_Date of card issue,forex_cards_Average spendings,forex_cards_no_of_transactions,commercial_credit_cards_Date of card issue,commercial_credit_cards_Average spendings,commercial_credit_cards_no_of_transactions,travel_insurance_geographic_coverage,travel_insurance_premium_amount,travel_insurance_add_ons,travel_insurance_number_of_claims,travel_insurance_type_of_claim,travel_insurance_amount_of_claim,travel_insurance_month_of_claim,travel_insurance_number_of_adult_family_members_insured,travel_insurance_number_of_minor_family_members_insured,travel_insurance_sum_insured,home_insurance_coverage,home_insurance_premium_amount,home_insurance_add_ons,home_insurance_number_of_claims,home_insurance_type_of_claim,home_insurance_amount_of_claim,home_insurance_month_of_claim,home_insurance_type_of_property,home_insurance_sum_insured,motor_insurance_coverage,motor_insurance_premium_amount,motor_insurance_add_ons,motor_insurance_number_of_claims,motor_insurance_type_of_claim,motor_insurance_amount_of_claim,motor_insurance_month_of_claim,motor_insurance_type_of_vehicle,motor_insurance_sum_insured,domestic_help_insurance_coverage,domestic_help_insurance_premium_amount,domestic_help_insurance_add_ons,domestic_help_insurance_number_of_claims,domestic_help_insurance_type_of_claim,domestic_help_insurance_amount_of_claim,domestic_help_insurance_month_of_claim,domestic_help_insurance_sum_insured,medical_insurance_coverage,medical_insurance_premium_amount,medical_insurance_add_ons,medical_insurance_number_of_claims,medical_insurance_type_of_claim,medical_insurance_amount_of_claim,medical_insurance_month_of_claim,medical_insurance_number_of_adult_family_members_insured,medical_insurance_number_of_minor_family_members_insured,medical_insurance_sum_insured
1000305,554,13:25,hinet.net',Balucawi,2020-01-17,3,91,0,1,7,Refferal,google.com,chrome,tablet,lenovo,error: Field 'devicedevicecategory' not found,accounts,8,696-568-2871,gold,female,4,37151.07,unmarried,car,yes,rented,no,farmer,449,17,69,44,2,0,Dunkerque,25,employed,temporary,standard,6/6/2019,82898,89979,75568,36803,41260,68681,49952,96192,12418,21995,32468,79611,7,7,10,8,4,10,1,5,7,3,4,5,23559,others,food,111368,96,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5279645.0,2.5,162.0,1371815.0,5309387.0,3.0,61.0,857056.0,5970412.0,4.0,169.0,519537,8549759.0,6.0,667590.0,2.5,,,,,,,,254774.0,43.0,12/23/2019,suzuki,Leuschke and Sons,NurmijÃ¤rvi,5918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/20/2019,21484.0,37.0,,,,1/23/2020,316339.0,91.0,,,,,,,,,,,,,,,,,,,,Third Party Liability Coverage,75171.0,Permanent Total Disability Coverage,2.0,type2,825134.0,1.0,Motorbike,3098513.0,,,,,,,,,,,,,,,,,,
1000042,49,16:29,att.net',Muararupit,2020-02-20,5,12,1,0,8,Organic,facebook.com,firefox,tablet,lenovo,error: Field 'devicedevicecategory' not found,insurance,1,645-551-3464,silver,male,2,22795.63,unmarried,car,no,own,yes,unskilled_labour,771,17,72,24,15,0,Perené,36,business,temporary,standard,6/17/2019,23866,89954,78988,20759,45367,89122,84634,44369,60664,84479,98816,26738,10,7,10,2,7,10,3,5,4,8,8,10,22215,travel,tech,6228167,35,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,,,,,,,,,,,,887029,,,4916400.0,4.0,,,,,,,,67624.0,54.0,8/28/2019,suzuki,"Raynor, Osinski and Balistreri",ChynÃ³w,6824.0,80591.0,68.0,10/17/2019,maruti,"Renner, Durgan and Feil",Santa Ana,2099.0,854982.0,41.0,9/9/2019,96.0,784321.0,68.0,9/23/2019,9311.0,travel,,,,,,286594.0,92.0,8/2/2019,4947.0,laptops,"Quitzon, Durgan and Beier",Juan L. Lacaze,motorolla,,,,,4/4/2019,249594.0,15.0,hobby,others,,,,,,1/13/2020,833239.0,31.0,9/5/2019,995310.0,1.0,,,,4/7/2019,519263.0,66.0,domestic,67732.0,Dental Coverage,1.0,Personal Accident Coverage,4662974.0,12.0,2.0,1.0,1374239.0,Accident Coverage,481316.0,Legal Expense Coverage Living Away Coverage,2.0,Building Damage Coverage,9064085.0,6.0,Villa,3631421.0,,,,,,,,,,,,,,,,,,Personal Accident cover,42951.0,Maternity Cover,2.0,type1,1089024.0,2.0,2.0,2.0,8101452.0
1000277,512,9:51,cox.net',Siso,2020-02-17,3,32,1,0,6,Refferal,youtube.com,edge,tablet,apple,error: Field 'devicedevicecategory' not found,loan,4,832-730-8964,gold,female,4,82194.82,married,bike,no,own,yes,firefighter,649,50,10,87,11,0,Mikhaylovsk,29,business,permanent,standard,3/25/2019,27775,40015,65565,31869,24156,64862,23403,43609,51286,82996,85449,44520,7,9,3,3,9,9,8,5,7,8,3,8,26369,travel,leisure,3067142,41,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,793342,,,,,,,,,,,,678350.0,57.0,5/15/2019,yamaha,Frami-Sawayn,Dagang,7759.0,,,,,,,,382836.0,93.0,1/21/2020,20.0,775937.0,10.0,2/12/2020,6031.0,travel,341503.0,36.0,10/29/2019,899443.0,food,,,,,,,,,87376.0,35.0,7/18/2019,6592.0,,,,,,,,,,,4/15/2019,445497.0,83.0,,,,,,,,,,international,51164.0,Delayed Flight Cancellation Coverage,3.0,Permanent Partial Disability Coverage,3685116.0,5.0,3.0,2.0,1775855.0,Basic Deductible Coverage Open Content Coverage,966725.0,Alternative Accommodation Coverage,1.0,Accident Coverage,6063591.0,1.0,Villa,8596652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000131,372,6:09,att.net',Changyi,2020-02-11,1,53,0,1,7,Organic,linkedin.com,brave,tablet,micromax,error: Field 'devicedevicecategory' not found,loan,3,963-602-3609,silver,male,3,15947.07,unmarried,car,no,own,yes,engineer,643,20,64,12,6,1,Zhdanov,48,employed,permanent,standard,5/17/2019,84257,54940,43796,34893,65375,68182,65080,57183,75851,53532,40905,23055,1,10,4,6,5,1,3,1,6,5,3,6,27482,food,others,6563701,64,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,6023868.0,2.5,41.0,1409386.0,,,,,8910886.0,5.5,31.0,864729,,,,,,,,,,,,189719.0,13.0,9/1/2019,suzuki,Grant-Predovic,Kodra,4895.0,,,,,,,,522613.0,18.0,12/14/2019,24.0,,,,,,,,,,,402665.0,53.0,12/17/2019,1793.0,laptops,"Lubowitz, Smith and O'Kon",Yangong,apple,,,,,,,,,,10/25/2019,955726.0,27.0,food,hobby,,,,,,,10/24/2019,913234.0,89.0,,,,international,94897.0,Countries Prohibited Coverage,2.0,Repatriation of Remains Coverage,4437410.0,10.0,3.0,2.0,2639401.0,Tenant Liability Coverage,902291.0,Tenant Liability Coverage,2.0,Ancillary Deductible Coverage,4659573.0,2.0,Apartment,7129808.0,,,,,,,,,,,60864.0,Accidental Death Coverage,6.0,type2,406553.0,12.0,464881.0,,,,,,,,,,
1000224,597,6:12,att.net',San Quintin,2020-01-08,3,18,0,1,5,Paid,google.com,opera,mobile,micromax,error: Field 'devicedevicecategory' not found,loan,6,563-155-9510,gold,female,5,70192.28,married,car,no,rented,no,farmer,840,94,74,56,4,0,Blagnac,47,employed,permanent,standard,3/17/2019,20110,62932,78368,81599,81208,32831,35041,84720,80456,52629,76346,93786,8,9,7,9,10,3,9,9,9,8,5,8,22485,food,hobby,2302674,39,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,,,,,1952489.0,4.0,75.0,982845.0,3020523.0,6.0,25.0,1352262,105387.0,1.0,,,,,,,,,,571184.0,57.0,9/25/2019,yamaha,Barton and Sons,Combita,4650.0,10542.0,76.0,7/23/2019,honda,"Borer, Murazik and Mosciski",Metsavan,1239.0,,,,,,,,,,950117.0,31.0,3/18/2019,935179.0,food,,,,,,,,,,,,,5/8/2019,979559.0,99.0,hobby,tech,,,,,,2/10/2020,707964.0,42.0,,,,3/31/2019,239141.0,11.0,8/7/2019,157105.0,31.0,,,,,,,,,,,,805382.0,,2.0,Frozen Food Coverage Guaranteed Repairs Coverage Home Assistance Coverage Household removals Coverage,1754300.0,7.0,Villa,8039115.0,,,,,,,,,,Accidental Death Coverage,80369.0,Accidental Death Coverage,10.0,type5,81896.0,9.0,19877.0,Critical illness cover,98845.0,Hospital cash,5.0,type1,2349824.0,5.0,3.0,2.0,9328077.0
1000215,507,23:24,comcast.net',Volkhovskiy,2020-01-15,5,17,1,0,9,Paid,youtube.com,edge,mobile,apple,error: Field 'devicedevicecategory' not found,deposits,3,810-923-2191,silver,male,2,49632.48,unmarried,bike,no,rented,no,nurse,664,37,58,66,3,0,Jalālpur,41,employed,permanent,gold,5/10/2019,48486,84328,21662,18680,75065,56932,36861,47057,88005,94176,54621,21585,3,4,2,2,8,8,3,4,10,10,2,5,22871,others,others,1881583,70,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,6556424.0,4.5,31.0,1294683.0,,,,,,,,491851,5104676.0,0.5,,,384529.0,12.0,8/6/2019,yamaha,Abbott-Jenkins,Rafael Perazza,3268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93449.0,38.0,3/2/2020,7710.0,mobile,Berge-Watsica,Xindu,huwaei,819093.0,28.0,11/11/2019,6017.0,,,,,,10/10/2019,651472.0,99.0,travel,travel,,,,,,,,,,,,,,,,,,,,,,,No Claim bonus Coverage Packers Movers Coverage Personal belongings Coverage Stolen Key Coverage,391751.0,Building Damage Coverage,4.0,Alternative Accommodation Coverage,3714066.0,8.0,Apartment,8323276.0,,,,,,,,,,,18246.0,Personal Accident Coverage,8.0,type1,22283.0,7.0,48381.0,,,,,,,,,,
1000185,264,2:09,verizon.net',Jifeng,2020-02-18,3,67,1,0,8,Display,linkedin.com,brave,tablet,apple,error: Field 'devicedevicecategory' not found,insurance,7,157-992-7073,silver,male,3,34132.29,married,car,no,rented,no,plumber,288,91,26,9,12,1,Verkhov’ye,50,employed,temporary,gold,4/23/2019,34168,76232,37523,79395,37005,58708,59827,13818,47470,52074,35744,48583,7,5,8,1,5,9,10,3,6,4,7,2,23950,food,hospital,4989026,65,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,,,,,,,,,1139028.0,5.0,59.0,112961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841307.0,53.0,7/30/2019,3060.0,hospital,325654.0,67.0,4/13/2019,961233.0,IT,,,,,,,,,984082.0,39.0,7/22/2019,8957.0,1/8/2020,306445.0,53.0,others,others,,,,,,,,,,,,4/11/2019,489019.0,39.0,12/30/2019,591896.0,52.0,,,,,,,,,,,,,,,,,,,,Third Party Property Damage Coverage,21582.0,Natural Calamity Coverage,4.0,type1,744779.0,4.0,Car,3080441.0,Lost Passport Coverage,64967.0,Accidental Death Coverage,2.0,type3,451828.0,5.0,144026.0,,,,,,,,,,
1000237,184,23:46,comcastbusiness.net',Sayang Lauq,2020-02-11,2,57,1,1,10,Social,linkedin.com,chromium,mobile,lenovo,error: Field 'devicedevicecategory' not found,credit_card,4,828-723-0954,gold,male,2,37314.69,married,bike,yes,own,no,plumber,761,58,36,71,3,1,Bonavista,53,employed,permanent,standard,6/10/2019,77548,91656,65701,76294,76649,10132,62269,63061,75247,60391,86433,33610,3,7,1,10,3,5,7,8,10,4,7,10,22030,food,others,9222588,29,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,7649516.0,4.0,104.0,1604253.0,,,,,1072217.0,2.5,198.0,1856145,,,,,,,,,,,,,,,,,,,50300.0,23.0,10/31/2019,hyundai,Crist-Pacocha,Ludbreg,16.0,,,,,339781.0,61.0,6/17/2019,2472.0,travel,,,,,,372835.0,81.0,11/3/2019,5370.0,mobile,"Reilly, Botsford and Christiansen",Norak,redmi,,,,,,,,,,,,,,,4/11/2019,735286.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51759.0,Lost Passport Coverage,6.0,type4,242892.0,4.0,16539.0,,,,,,,,,,
1000355,243,6:21,att.net',Yūki,2020-01-30,5,12,0,1,8,Direct,google.com,brave,mobile,apple,error: Field 'devicedevicecategory' not found,accounts,10,881-712-5449,silver,female,5,97336.21,unmarried,car,no,own,yes,doctor,398,28,2,24,8,1,Margate,53,employed,permanent,gold,6/8/2019,93192,59933,16264,19282,37246,77874,89783,77497,97556,59339,34587,22121,9,1,4,9,9,7,9,9,9,9,1,9,22770,leisure,leisure,4784643,34,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,878579.0,5.5,27.0,430325.0,,,,,,,,1327524,8564351.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,259397.0,17.0,1/17/2020,5366.0,travel,899122.0,27.0,11/20/2019,710218.0,IT,,,,,,,,,656371.0,10.0,4/3/2019,9862.0,,,,,,,,,,,,,,,,,,,,6/12/2019,211746.0,19.0,,,,,,,,,,,No Claim bonus Coverage Packers Movers Coverage Personal belongings Coverage Stolen Key Coverage,299004.0,Basic Deductible Coverage Open Content Coverage,2.0,Domestic help Coverage,3714277.0,11.0,Villa,9210392.0,Number Plate Coverage,84283.0,Theft Coverage,1.0,type5,267646.0,6.0,Motorbike,1931098.0,Personal Accident Coverage,46951.0,Accidental Death Coverage,1.0,type4,354572.0,4.0,282174.0,Personal Accident cover,28273.0,Hospital cash,9.0,type1,3706147.0,12.0,4.0,2.0,2112519.0
1000152,176,19:32,cox.net',Jiangtou,2020-01-04,4,11,0,0,10,Paid,youtube.com,chromium,tablet,samsung,error: Field 'devicedevicecategory' not found,insurance,10,301-862-6314,gold,male,3,55496.42,married,car,yes,own,no,unskilled_labour,587,47,79,59,15,0,Strängnäs,41,business,permanent,standard,3/7/2019,44811,50153,72033,72327,99281,23777,69503,24665,26870,68565,12196,84951,1,5,10,9,3,2,7,4,3,9,4,5,25281,food,hobby,1439422,64,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,,,,,,,,,8457055.0,3.5,74.0,1629287,7088050.0,2.5,8772875.0,5.5,,,,,,,,551868.0,35.0,11/30/2019,duke,Rippin Group,Horred,8208.0,,,,,,,,268102.0,38.0,7/16/2019,60.0,,,,,,747186.0,38.0,9/15/2019,752836.0,IT,,,,,,,,,,,,,,,,,,,,,,,1/26/2020,683097.0,12.0,5/31/2019,646611.0,16.0,8/7/2019,11890.0,8.0,,,,,,,,,,,,,,Domestic help Coverage,136654.0,Alternative Accommodation Coverage,4.0,Ancillary Deductible Coverage,4009106.0,4.0,Villa,3851912.0,,,,,,,,,,,,,,,,,,Maternity Cover,100826.0,Hospital cash,5.0,type5,6577410.0,4.0,1.0,2.0,9934214.0
