phone_no,customer_segment,gender,number_of_children,income,marital_status,owns_vehicle,age_of_vehicle,vehicle_type,value_of_vehicle,accomodation_status_rented_own,owns_house,age_of_house,value_of_house,occupation,credit_score,customer_transactions_using_mobile_banking,customer_transactions_using_internet_banking,customer_transactions_using_mobile_wallet,length_of_the_customer’s_relationship_with_the_bank,educational_status,home_city_or_province,age,employed_or_business,address_type_permanent_temporary,date_of_card_issue,spending_on_credit_card_in_jan,spending_on_credit_card_in_feb,spending_on_credit_card_in_mar,spending_on_credit_card_in_apr,spending_on_credit_card_in_may,spending_on_credit_card_in_june,spending_on_credit_card_in_july,spending_on_credit_card_in_aug,spending_on_credit_card_in_sep,spending_on_credit_card_in_oct,spending_on_credit_card_in_nov,spending_on_credit_card_in_dec,transactions_jan,transactions_feb,transactions_mar,transactions_apr,transactions_may,transactions_june,transactions_july,transactions_aug,transactions_sep,transactions_oct,transactions_nov,transactions_dec,max_transaction_amount,category_of_max_number_of_transaction,category_of_max_spend_amount,atm_transaction_amount_yearly,no_of_atm_transaction_yearly,account_id
696-568-2871,gold,female,4,37151.07,unmarried,yes,1.0,car,173171.0,rented,no,,,farmer,449,17,69,44,2,High school,Dunkerque,25,employed,temporary,6/6/2019,82898.0,89979.0,,36803.0,41260.0,68681.0,49952.0,96192.0,12418.0,21995.0,32468.0,,7,7,10,8,4,10,1,5,7,3,4,5,23559,others,food,111368,96,100000000000
645-551-3464,silver,male,2,22795.63,unmarried,no,,car,,own,yes,5.0,38317662.0,unskilled_labour,771,17,72,24,15,High school,Perené,36,business,temporary,6/17/2019,23866.0,89954.0,,20759.0,45367.0,89122.0,84634.0,44369.0,60664.0,84479.0,98816.0,26738.0,10,7,10,2,7,10,3,5,4,8,8,10,22215,travel,tech,6228167,35,100000000001
832-730-8964,gold,female,4,82194.82,married,no,,bike,,own,yes,17.0,2877655.0,firefighter,649,50,10,87,11,High school,Mikhaylovsk,29,business,permanent,3/25/2019,27775.0,40015.0,65565.0,31869.0,24156.0,64862.0,23403.0,43609.0,51286.0,82996.0,85449.0,44520.0,7,9,3,3,9,9,8,5,7,8,3,8,26369,travel,leisure,3067142,41,100000000002
963-602-3609,silver,male,3,15947.07,unmarried,no,,car,,own,yes,3.0,66521896.0,engineer,643,20,64,12,6,Degree,Zhdanov,48,employed,permanent,5/17/2019,84257.0,54940.0,43796.0,34893.0,65375.0,68182.0,65080.0,57183.0,,53532.0,40905.0,23055.0,1,10,4,6,5,1,3,1,6,5,3,6,27482,food,others,6563701,64,100000000003
563-155-9510,gold,female,5,70192.28,married,no,,car,,rented,no,,,farmer,840,94,74,56,4,High school,Blagnac,47,employed,permanent,3/17/2019,20110.0,62932.0,,81599.0,81208.0,32831.0,35041.0,84720.0,80456.0,52629.0,,93786.0,8,9,7,9,10,3,9,9,9,8,5,8,22485,food,hobby,2302674,39,100000000004
810-923-2191,silver,male,2,49632.48,unmarried,no,,bike,,rented,no,,,nurse,664,37,58,66,3,High school,Jalālpur,41,employed,permanent,5/10/2019,48486.0,84328.0,21662.0,18680.0,,56932.0,36861.0,47057.0,88005.0,94176.0,54621.0,21585.0,3,4,2,2,8,8,3,4,10,10,2,5,22871,others,others,1881583,70,100000000005
157-992-7073,silver,male,3,34132.29,married,no,,car,,rented,no,,,plumber,288,91,26,9,12,Degree,Verkhov’ye,50,employed,temporary,4/23/2019,34168.0,,37523.0,,37005.0,58708.0,59827.0,13818.0,47470.0,52074.0,35744.0,48583.0,7,5,8,1,5,9,10,3,6,4,7,2,23950,food,hospital,4989026,65,100000000006
828-723-0954,gold,male,2,37314.69,married,yes,1.0,bike,275826.0,own,yes,5.0,25471365.0,plumber,761,58,36,71,3,Degree,Bonavista,53,employed,permanent,6/10/2019,,91656.0,65701.0,,,10132.0,62269.0,63061.0,,60391.0,86433.0,33610.0,3,7,1,10,3,5,7,8,10,4,7,10,22030,food,others,9222588,29,100000000007
881-712-5449,silver,female,5,97336.21,unmarried,no,,car,,own,yes,13.0,49468008.0,doctor,398,28,2,24,8,Degree,Margate,53,employed,permanent,6/8/2019,93192.0,59933.0,16264.0,19282.0,37246.0,,89783.0,,97556.0,59339.0,34587.0,22121.0,9,1,4,9,9,7,9,9,9,9,1,9,22770,leisure,leisure,4784643,34,100000000008
301-862-6314,gold,male,3,55496.42,married,yes,11.0,car,336868.0,own,yes,7.0,96510337.0,unskilled_labour,587,47,79,59,15,High school,Strängnäs,41,business,permanent,3/7/2019,44811.0,50153.0,,,99281.0,23777.0,69503.0,24665.0,26870.0,68565.0,12196.0,84951.0,1,5,10,9,3,2,7,4,3,9,4,5,25281,food,hobby,1439422,64,100000000009
965-972-3321,silver,male,1,47064.11,unmarried,no,,car,,own,yes,6.0,96812137.0,shop_owner,687,89,85,10,15,High school,Mobile,29,business,permanent,5/8/2019,50051.0,10120.0,10616.0,45555.0,42183.0,97347.0,53151.0,94746.0,61636.0,53528.0,26154.0,43268.0,2,1,8,8,1,6,10,3,3,6,9,10,21377,leisure,food,9021724,46,100000000010
390-745-7059,silver,female,4,20554.05,unmarried,yes,4.0,car,263852.0,own,yes,16.0,43310611.0,politician,574,65,98,77,3,High school,Nova Venécia,35,business,permanent,5/14/2019,20740.0,17496.0,93070.0,27726.0,80028.0,98016.0,98654.0,59018.0,23817.0,87858.0,19635.0,,10,1,6,6,6,2,10,9,10,3,5,8,26233,leisure,travel,9579684,42,100000000011
933-134-7077,silver,female,3,59676.3,married,yes,4.0,bike,887168.0,rented,no,,,teacher,449,74,46,74,5,High school,Nova Odessa,43,employed,temporary,4/27/2019,52509.0,31958.0,80156.0,30289.0,22802.0,27666.0,19370.0,86159.0,62926.0,96829.0,42828.0,12966.0,4,9,10,8,8,4,9,7,10,1,9,7,29461,food,leisure,4757546,6,100000000012
838-742-7817,silver,male,4,19173.58,unmarried,yes,6.0,bike,747505.0,rented,no,,,unskilled_labour,316,11,66,73,8,High school,Angeghakot’,55,business,permanent,6/30/2019,86260.0,60116.0,66758.0,44020.0,29996.0,99351.0,43748.0,19407.0,15430.0,32413.0,66869.0,67541.0,2,9,5,5,3,8,9,9,5,5,10,2,28321,others,hospital,5388231,15,100000000013
969-931-7923,silver,male,3,35147.58,unmarried,no,,bike,,own,yes,8.0,99480942.0,engineer,396,87,72,29,10,Degree,Pavlovka,34,employed,temporary,4/26/2019,55646.0,13600.0,45141.0,,35197.0,45630.0,59837.0,36929.0,53280.0,,34560.0,99516.0,5,2,3,8,10,5,5,2,4,7,4,3,27899,food,travel,674099,39,100000000014
618-387-5107,gold,male,5,19886.42,married,no,,car,,rented,no,,,nurse,541,20,66,75,4,High school,Anahuac,26,employed,permanent,3/19/2019,16609.0,39897.0,19811.0,97625.0,41985.0,39287.0,45223.0,19474.0,,20386.0,64505.0,64674.0,3,5,1,10,4,1,1,8,4,2,6,3,22048,hospital,hobby,369750,73,100000000015
238-709-0091,gold,male,0,77393.86,married,no,,bike,,rented,no,,,firefighter,850,46,56,19,7,Degree,Timbó,52,employed,temporary,6/20/2019,94636.0,29903.0,59140.0,42094.0,66719.0,95377.0,63518.0,36956.0,64163.0,31406.0,62974.0,,6,10,2,2,8,8,6,8,5,2,2,1,24472,others,food,2104166,52,100000000016
504-186-4424,gold,female,5,52717.54,married,yes,9.0,bike,797831.0,own,yes,5.0,44783062.0,pilot,264,80,51,66,9,High school,Viñac,34,business,temporary,4/18/2019,49478.0,80780.0,16729.0,56164.0,80758.0,97046.0,96910.0,36868.0,69198.0,89401.0,33857.0,28481.0,2,5,5,8,4,10,3,4,2,3,5,2,20940,travel,others,6282870,84,100000000017
171-376-9537,gold,male,3,55931.77,married,no,,car,,own,yes,2.0,49071093.0,pilot,527,60,45,39,15,High school,Shatura,43,business,permanent,6/4/2019,94117.0,56783.0,10297.0,57281.0,21929.0,42021.0,66957.0,31805.0,50929.0,80846.0,48748.0,65634.0,3,3,8,7,3,8,8,9,8,3,9,1,29820,hospital,food,2868063,68,100000000018
219-590-4983,gold,female,3,12844.69,unmarried,no,,bike,,own,yes,14.0,54157352.0,doctor,342,65,91,22,10,Degree,Negara,36,employed,temporary,5/19/2019,38819.0,35573.0,37078.0,51220.0,36611.0,82808.0,,81005.0,49110.0,80680.0,99136.0,26701.0,9,9,2,6,4,5,2,2,10,6,4,2,25712,food,tech,6068700,19,100000000019
170-748-8516,gold,male,5,95690.68,unmarried,yes,3.0,bike,613537.0,own,yes,18.0,88518326.0,engineer,535,57,84,63,7,Degree,Glinojeck,38,employed,permanent,6/21/2019,85692.0,90836.0,88381.0,20614.0,57955.0,31361.0,95856.0,83038.0,65269.0,32864.0,21301.0,,6,1,4,2,8,3,5,3,1,1,10,9,29176,food,others,1230959,83,100000000020
310-585-9484,gold,female,1,81001.7,unmarried,no,,bike,,rented,no,,,driver,313,38,2,14,12,Degree,Changdai,36,employed,permanent,5/21/2019,66049.0,68195.0,81918.0,,,36068.0,14814.0,52422.0,89769.0,15815.0,92778.0,29875.0,2,10,8,8,10,8,7,10,9,1,8,7,23725,hospital,hobby,2182343,63,100000000021
415-326-6711,silver,female,0,92452.32,married,yes,5.0,car,112568.0,own,yes,15.0,5984337.0,farmer,311,51,72,25,14,High school,Malinaw,38,employed,permanent,5/25/2019,52639.0,87177.0,41640.0,61533.0,41286.0,14922.0,89456.0,45104.0,80556.0,85374.0,52871.0,94244.0,4,2,1,10,6,5,7,3,2,5,1,5,26694,food,tech,9896279,85,100000000022
614-375-3304,silver,male,4,36687.97,unmarried,no,,bike,,rented,no,,,teacher,421,85,90,77,7,High school,Dalinhe,35,business,temporary,5/9/2019,,86302.0,33912.0,59025.0,39460.0,12938.0,22213.0,87014.0,89519.0,,85631.0,31943.0,4,7,10,1,5,7,3,8,8,7,3,9,21883,hobby,food,8047662,97,100000000023
498-127-9761,gold,female,5,45850.17,unmarried,no,,car,,rented,no,,,driver,489,1,90,20,5,High school,Tegalsari,29,employed,permanent,5/18/2019,67904.0,51292.0,92704.0,15991.0,83690.0,40577.0,30416.0,91556.0,42789.0,53445.0,65754.0,61289.0,9,9,3,4,3,2,10,5,6,3,5,1,22313,tech,hobby,7126504,68,100000000024
390-820-8149,silver,male,0,60446.09,married,no,,bike,,own,yes,21.0,94029185.0,teacher,765,17,26,100,13,High school,Breu,41,employed,temporary,6/19/2019,13631.0,31496.0,41345.0,68249.0,,65233.0,67219.0,88468.0,14903.0,83103.0,18084.0,17349.0,7,9,8,8,2,1,3,6,4,3,9,8,28642,others,hospital,9864885,5,100000000025
420-827-1579,silver,female,2,32842.97,unmarried,yes,2.0,car,491389.0,own,yes,4.0,27727134.0,politician,712,39,76,3,6,High school,Sukabumi,37,business,temporary,6/20/2019,,,12437.0,57093.0,60721.0,15042.0,83351.0,45880.0,87192.0,16560.0,27895.0,68986.0,5,7,10,9,7,10,2,4,5,5,7,6,24153,leisure,hobby,9050314,99,100000000026
277-928-9716,gold,female,1,38858.9,married,no,,bike,,own,yes,15.0,24709139.0,shop_owner,335,56,16,95,4,High school,Mbalmayo,48,business,permanent,6/12/2019,95543.0,39756.0,34136.0,41918.0,24133.0,38609.0,50303.0,30209.0,83256.0,66477.0,52904.0,67982.0,9,5,7,4,8,1,1,9,3,4,6,1,27905,others,travel,2020410,89,100000000027
156-394-8701,gold,male,5,66951.43,married,yes,2.0,bike,126244.0,own,yes,6.0,62453087.0,technicians,343,61,53,99,1,High school,Huadian,27,employed,permanent,4/29/2019,64320.0,,85672.0,17887.0,63321.0,,40741.0,,81798.0,26102.0,37643.0,,5,5,5,1,10,3,8,7,6,10,1,2,28757,hospital,food,3777634,68,100000000028
480-841-7254,silver,male,3,30465.89,unmarried,no,,car,,rented,no,,,pilot,533,4,87,13,3,High school,Machachi,52,business,temporary,6/3/2019,,69911.0,56598.0,13131.0,51481.0,53879.0,67430.0,87058.0,61124.0,,33162.0,39809.0,10,4,2,7,10,10,2,1,8,8,1,8,28489,food,food,5205274,75,100000000029
434-575-0197,silver,female,3,96209.17,married,no,,bike,,own,yes,19.0,50745410.0,engineer,434,44,84,73,12,Degree,Gniezno,31,employed,permanent,6/23/2019,24513.0,86848.0,22218.0,33212.0,52635.0,18742.0,57885.0,22061.0,52798.0,36470.0,55307.0,,3,9,4,3,10,2,5,3,5,5,2,5,23570,hobby,others,1170349,52,100000000030
619-196-7991,gold,male,5,20800.64,unmarried,no,,car,,own,yes,20.0,29115905.0,doctor,328,45,22,49,13,Degree,Ningdun,34,employed,permanent,6/25/2019,47416.0,56209.0,80007.0,29133.0,43562.0,43528.0,59205.0,,80084.0,83472.0,95295.0,62929.0,4,1,8,6,5,1,4,5,3,4,6,3,22544,others,hobby,7316043,94,100000000031
995-665-5742,silver,male,2,10519.89,unmarried,yes,4.0,bike,503328.0,rented,no,,,unskilled_labour,756,55,84,73,11,High school,Parramos,28,business,permanent,4/23/2019,95480.0,65656.0,55609.0,68859.0,39843.0,46250.0,42242.0,29502.0,99844.0,14166.0,92190.0,66738.0,7,7,7,1,9,5,9,2,7,1,7,4,20136,others,hobby,4738884,8,100000000032
246-128-9333,silver,male,4,52988.76,unmarried,no,,car,,own,yes,5.0,36185138.0,driver,754,97,32,95,9,Degree,Rustam jo Goth,30,employed,permanent,3/12/2019,10920.0,84540.0,18180.0,19695.0,83462.0,15883.0,91030.0,,11072.0,87050.0,43542.0,90761.0,4,10,6,10,9,4,9,7,4,9,4,4,20803,leisure,hospital,5625521,74,100000000033
745-143-1695,silver,male,2,48136.72,married,yes,2.0,bike,946560.0,own,yes,22.0,33848177.0,shop_owner,501,46,93,92,8,High school,Ostankinskiy,49,business,permanent,4/1/2019,,35153.0,67519.0,42323.0,43402.0,12621.0,46498.0,11143.0,40554.0,92003.0,31768.0,61231.0,1,5,3,3,7,8,5,7,4,1,4,4,23616,food,hospital,8322649,93,100000000034
611-413-1754,gold,male,3,37074.57,married,no,,bike,,rented,no,,,nurse,293,82,66,47,14,High school,Emiliano Zapata,45,employed,temporary,4/24/2019,29001.0,97385.0,42888.0,,43637.0,39184.0,57139.0,85120.0,56254.0,86443.0,99102.0,63053.0,2,8,1,2,1,3,4,2,5,8,7,6,24938,food,food,3926220,51,100000000035
555-735-1296,gold,female,3,30409.15,unmarried,no,,bike,,rented,no,,,teacher,615,75,67,19,13,High school,Duas Igrejas,45,employed,temporary,6/14/2019,49842.0,68558.0,83731.0,49183.0,32478.0,41066.0,32368.0,92633.0,95227.0,96294.0,88133.0,40885.0,5,5,7,8,5,8,2,10,7,10,5,5,25269,leisure,others,1450290,47,100000000036
147-605-6927,gold,male,3,13200.83,unmarried,yes,9.0,bike,237261.0,own,yes,17.0,59435886.0,farmer,659,88,51,14,6,High school,Sylvan Lake,42,employed,temporary,4/24/2019,64227.0,33785.0,95445.0,92280.0,,59326.0,87382.0,,45365.0,19150.0,68661.0,65917.0,5,1,1,5,10,1,1,10,9,1,4,1,28131,travel,hospital,4205139,73,100000000037
894-173-8580,silver,male,0,24644.16,unmarried,yes,2.0,bike,738181.0,rented,no,,,nurse,782,38,47,2,3,High school,Türkmenbaşy,30,employed,permanent,3/9/2019,54609.0,89524.0,44491.0,11172.0,67446.0,66503.0,97110.0,80296.0,50162.0,67764.0,90641.0,30095.0,6,8,4,2,4,1,7,5,1,10,7,10,25655,food,leisure,9016391,33,100000000038
823-495-0481,gold,female,1,59081.02,married,yes,6.0,car,365559.0,rented,no,,,farmer,711,15,77,8,15,High school,Pananaw,33,employed,permanent,4/1/2019,93154.0,90924.0,10892.0,47875.0,47894.0,50395.0,36174.0,12879.0,41518.0,89302.0,12314.0,90266.0,3,9,4,9,6,7,5,8,6,5,8,8,28669,hobby,others,5361551,17,100000000039
851-975-8648,gold,female,3,14203.21,unmarried,no,,car,,own,yes,10.0,33158001.0,unskilled_labour,462,100,8,59,12,High school,Callahuanca,57,business,temporary,4/2/2019,24359.0,49178.0,41355.0,12791.0,59790.0,62756.0,95334.0,82738.0,42801.0,35014.0,17237.0,13008.0,8,1,5,9,3,10,7,6,10,10,9,2,25629,leisure,tech,4413255,96,100000000040
644-435-6529,gold,male,1,95136.45,married,no,,car,,rented,no,,,farmer,319,75,100,52,6,High school,El Tejocote,40,employed,temporary,5/9/2019,41209.0,51859.0,81658.0,17515.0,36896.0,,81141.0,14916.0,38602.0,65911.0,29568.0,28226.0,4,8,1,5,5,4,1,4,6,9,8,2,26042,travel,others,5811800,23,100000000041
394-781-6301,silver,female,2,40727.52,unmarried,no,,bike,,rented,no,,,plumber,472,23,56,94,8,High school,Morong,60,business,permanent,6/5/2019,97919.0,53378.0,89610.0,63409.0,14812.0,24357.0,,,80885.0,80438.0,82020.0,97853.0,7,9,3,1,5,10,4,1,6,5,3,4,24465,leisure,tech,7052832,56,100000000042
