browser_id,time_on_site,timestamp,isp,geonetworkcity,date,totals.uniquescreenviews,totals.timeonscreen,hits.isinteraction,hits.promotionactioninfopromoisclick,totals.screenviews,trafficsourcemedium,trafficsourcerefferalpath,device.browser,device.devicecategory,device.mobiledevicebranding,device.ismobile,promo_cateogry,totalspageviews,phone_no,customer_segment,gender,number_of_children,income,marital_status,vehicle_type,owns_vehicle,accomodation_status_rented_own,owns_house,occupation,credit_score,customer_transactions_using_mobile_banking,customer_transactions_using_internet_banking,customer_transactions_using_mobile_wallet,length_of_the_customer’s_relationship_with_the_bank,educational_status,home_city_or_province,age,employed_or_business,address_type_permanent_temporary,type_of_card_held,date_of_card_issue,spending_on_credit_card_in_jan,spending_on_credit_card_in_feb,spending_on_credit_card_in_mar,spending_on_credit_card_in_apr,spending_on_credit_card_in_may,spending_on_credit_card_in_june,spending_on_credit_card_in_july,spending_on_credit_card_in_aug,spending_on_credit_card_in_sep,spending_on_credit_card_in_oct,spending_on_credit_card_in_nov,spending_on_credit_card_in_dec,transactions_jan,transactions_feb,transactions_mar,transactions_apr,transactions_may,transactions_june,transactions_july,transactions_aug,transactions_sep,transactions_oct,transactions_nov,transactions_dec,max_transaction_amount,category_of_max_number_of_transaction,category_of_max_spend_amount,atm_transaction_amount_yearly,no_of_atm_transaction_yearly,savings_accounts,current_accounts,salary_accounts,millennia_cards,credit_cards,debit_cards,prepaid_cards,forex_cards,commercial_credit_cards,fixed_deposit,non_withdrawal_deposits,home_loan,personal_loan,business_growth_loan,two_wheeler_loan,easyemi_consumer_loan,bike_loan,car_loan,educational_loan,motor_insurance,home_insurance,domestic_help_insurance,travel_insurance,education_insurance,savings_accounts_amount,savings_accounts_interest_rate,savings_accounts_number_of_times_debited,savings_accounts_maximum_amt_debited,current_accounts_amount,current_accounts_interest_rate,current_accounts_number_of_times_debited,current_accounts_maximum_amt_debited,salary_accounts_amount,salary_accounts_interest_rate,salary_accounts_number_of_times_debited,salary_accounts_maximum_amt_debited,fd_amount,fd_interest_rate,non_withdrawl_deposit_amount,non_withdrawl_deposit_interest_rate,twl_Principal amount,twl_Loan to value of asset,twl_Date of loan disbursement,twl_Manufacturer details,twl_Dealer name,twl_Dealer location,twl_Amount paid,bike_twl_Principal amount,bike_twl_Loan to value of asset,bike_twl_Date of loan disbursement,bike_twl_Manufacturer details,bike_twl_Dealer name,bike_twl_Dealer location,bike_twl_Amount paid,car_Principal amount,car_Loan to value of asset,car_Date of loan disbursement,car_Manufacturer details,car_Dealer name,car_Dealer location,car_Amount paid,home_Principal amount,home_Loan to value of asset,home_Date of loan disbursement,home_Amount paid,personal_Principal amount,personal_Loan to value of asset,personal_Date of loan disbursement,personal_Amount paid,personal_purpose_category,business_Principal amount,business_Loan to value of asset,business_Date of loan disbursement,business_Amount paid,business_category,easyemi_Principal amount,easyemi_Loan to value of asset,easyemi_Date of loan disbursement,easyemi_Amount paid,easyemi_purpose_category,easyemi_dealer_name,easyemi_dealer_location,easyemi_product_manufacturer,edu_Principal amount,edu_Loan to value of asset,edu_Date of loan disbursement,edu_Amount paid,credit_card_Date of card issue,credit_card_Average spendings,credit_card_no_of_transactions,credit_card_max_spent_category,credit_card_max_trans_category,debit_card_Date of card issue,debit_card_Average spendings,debit_card_no_of_transactions,debit_card_max_spent_category,debit_card_max_trans_category,millennia_cards_Date of card issue,millennia_cards_Average spendings,millennia_cards_no_of_transactions,prepaid_cards_Date of card issue,prepaid_cards_Average spendings,prepaid_cards_no_of_transactions,forex_cards_Date of card issue,forex_cards_Average spendings,forex_cards_no_of_transactions,commercial_credit_cards_Date of card issue,commercial_credit_cards_Average spendings,commercial_credit_cards_no_of_transactions,travel_insurance_geographic_coverage,travel_insurance_premium_amount,travel_insurance_add_ons,travel_insurance_number_of_claims,travel_insurance_type_of_claim,travel_insurance_amount_of_claim,travel_insurance_month_of_claim,travel_insurance_number_of_adult_family_members_insured,travel_insurance_number_of_minor_family_members_insured,travel_insurance_sum_insured,home_insurance_coverage,home_insurance_premium_amount,home_insurance_add_ons,home_insurance_number_of_claims,home_insurance_type_of_claim,home_insurance_amount_of_claim,home_insurance_month_of_claim,home_insurance_type_of_property,home_insurance_sum_insured,motor_insurance_coverage,motor_insurance_premium_amount,motor_insurance_add_ons,motor_insurance_number_of_claims,motor_insurance_type_of_claim,motor_insurance_amount_of_claim,motor_insurance_month_of_claim,motor_insurance_type_of_vehicle,motor_insurance_sum_insured,domestic_help_insurance_coverage,domestic_help_insurance_premium_amount,domestic_help_insurance_add_ons,domestic_help_insurance_number_of_claims,domestic_help_insurance_type_of_claim,domestic_help_insurance_amount_of_claim,domestic_help_insurance_month_of_claim,domestic_help_insurance_sum_insured,medical_insurance_coverage,medical_insurance_premium_amount,medical_insurance_add_ons,medical_insurance_number_of_claims,medical_insurance_type_of_claim,medical_insurance_amount_of_claim,medical_insurance_month_of_claim,medical_insurance_number_of_adult_family_members_insured,medical_insurance_number_of_minor_family_members_insured,medical_insurance_sum_insured
1000305,554,13:25,hinet.net',Balucawi,2020-01-17,3,91,0,1,7,Refferal,google.com,chrome,tablet,lenovo,error: Field 'devicedevicecategory' not found,accounts,8,696-568-2871,gold,female,4,37151.07,unmarried,car,yes,rented,no,farmer,449,17,69,44,2,0,Dunkerque,25,employed,temporary,standard,6/6/2019,82898,89979,75568,36803,41260,68681,49952,96192,12418,21995,32468,79611,7,7,10,8,4,10,1,5,7,3,4,5,23559,others,food,111368,96,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5279645,2.5,162,1371815,5309387,3,61,857056,5970412,4,169,519537,8549759,6,667590,2.5,457922,66,12/25/2019,yamaha,Ortiz LLC,Penhold,6686,254774,43,12/23/2019,suzuki,Leuschke and Sons,NurmijÃ¤rvi,5918,14075,81,1/24/2020,hyundai,Buckridge-Nikolaus,Simpang,9927,581505,94,9/30/2019,17,635314,20,7/9/2019,2756,hospital,384700,100,7/25/2019,128598,food,817201,15,3/16/2019,5875,other electronics,"Mueller, Wisozk and Miller",Pidsandawan,huwaei,580809,28,1/18/2020,9783,6/27/2019,818020,71,hobby,hobby,5/7/2019,853939,23,leisure,tech,1/19/2020,723048,55,5/20/2019,21484,37,4/19/2019,410675,29,1/23/2020,316339,91,domestic,99357,,3,Hazardous Sports Coverage,1220884,1,1,2,4933507,Building Damage Coverage,537330,Alternative Accommodation Coverage,1,Building Damage Coverage,5427176,8,Apartment,3648324,Third Party Liability Coverage,75171,Permanent Total Disability Coverage,2,type2,825134,1,Motorbike,3098513,Medical Coverage,93007,Lost Passport Coverage,1,type2,230937,12,209005,Hospital cash,78623,Maternity Cover,6,type2,9703386,10,1,1,6294550
1000042,49,16:29,att.net',Muararupit,2020-02-20,5,12,1,0,8,Organic,facebook.com,firefox,tablet,lenovo,error: Field 'devicedevicecategory' not found,insurance,1,645-551-3464,silver,male,2,22795.63,unmarried,car,no,own,yes,unskilled_labour,771,17,72,24,15,0,Perené,36,business,temporary,standard,6/17/2019,23866,89954,78988,20759,45367,89122,84634,44369,60664,84479,98816,26738,10,7,10,2,7,10,3,5,4,8,8,10,22215,travel,tech,6228167,35,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,770755,1,137,99509,3157026,2.5,97,1839224,9453865,3.5,57,887029,7307658,4,4916400,4,150852,82,2/21/2020,suzuki,Durgan Inc,Brisbane,9046,67624,54,8/28/2019,suzuki,"Raynor, Osinski and Balistreri",ChynÃ³w,6824,80591,68,10/17/2019,maruti,"Renner, Durgan and Feil",Santa Ana,2099,854982,41,9/9/2019,96,784321,68,9/23/2019,9311,travel,480109,66,8/29/2019,364225,travel,286594,92,8/2/2019,4947,laptops,"Quitzon, Durgan and Beier",Juan L. Lacaze,motorolla,654779,70,1/13/2020,2841,4/4/2019,249594,15,hobby,others,2/11/2020,384359,12,food,travel,1/13/2020,833239,31,9/5/2019,995310,1,1/11/2020,50622,97,4/7/2019,519263,66,domestic,67732,Dental Coverage,1,Personal Accident Coverage,4662974,12,2,1,1374239,Accident Coverage,481316,Legal Expense Coverage Living Away Coverage,2,Building Damage Coverage,9064085,6,Villa,3631421,Damage Towing Coverage,40793,Riot Coverage,4,type4,340701,11,Motorbike,5242965,Lost Passport Coverage,69861,Accidental Death Coverage,4,type4,125302,6,416655,Personal Accident cover,42951,Maternity Cover,2,type1,1089024,2,2,2,8101452
1000277,512,9:51,cox.net',Siso,2020-02-17,3,32,1,0,6,Refferal,youtube.com,edge,tablet,apple,error: Field 'devicedevicecategory' not found,loan,4,832-730-8964,gold,female,4,82194.82,married,bike,no,own,yes,firefighter,649,50,10,87,11,0,Mikhaylovsk,29,business,permanent,standard,3/25/2019,27775,40015,65565,31869,24156,64862,23403,43609,51286,82996,85449,44520,7,9,3,3,9,9,8,5,7,8,3,8,26369,travel,leisure,3067142,41,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,5857254,3.5,44,685330,5256281,0.5,125,240084,1603102,0.5,84,793342,5912074,1,5811348,5.5,180723,88,9/28/2019,tvs,Jones and Sons,Houping,8062,678350,57,5/15/2019,yamaha,Frami-Sawayn,Dagang,7759,75982,51,5/5/2019,hyundai,"Tromp, Conroy and VonRueden",Uijeongbu-si,4266,382836,93,1/21/2020,20,775937,10,2/12/2020,6031,travel,341503,36,10/29/2019,899443,food,517601,87,2/16/2020,1308,other electronics,"Schultz, Bernhard and Howe",â€˜Abs,huwaei,87376,35,7/18/2019,6592,11/12/2019,112358,23,hobby,travel,11/3/2019,618439,25,leisure,food,4/15/2019,445497,83,11/14/2019,629787,74,2/15/2020,803773,35,3/13/2020,360281,66,international,51164,Delayed Flight Cancellation Coverage,3,Permanent Partial Disability Coverage,3685116,5,3,2,1775855,Basic Deductible Coverage Open Content Coverage,966725,Alternative Accommodation Coverage,1,Accident Coverage,6063591,1,Villa,8596652,Damage Towing Coverage,61449,Accident Coverage,4,type1,259340,8,Motorbike,2078780,Personal Accident Coverage,40487,,6,type1,22207,1,378091,Critical illness cover,128786,Maternity Cover,7,type4,7031905,4,1,2,5383944
1000131,372,6:09,att.net',Changyi,2020-02-11,1,53,0,1,7,Organic,linkedin.com,brave,tablet,micromax,error: Field 'devicedevicecategory' not found,loan,3,963-602-3609,silver,male,3,15947.07,unmarried,car,no,own,yes,engineer,643,20,64,12,6,1,Zhdanov,48,employed,permanent,standard,5/17/2019,84257,54940,43796,34893,65375,68182,65080,57183,75851,53532,40905,23055,1,10,4,6,5,1,3,1,6,5,3,6,27482,food,others,6563701,64,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,6023868,2.5,41,1409386,1569261,3,5,1053170,8910886,5.5,31,864729,7377505,5.5,3193764,0.5,98831,68,6/9/2019,tvs,Maggio-Emard,Bolo,8185,189719,13,9/1/2019,suzuki,Grant-Predovic,Kodra,4895,40805,35,5/16/2019,maruti,"Metz, Gutkowski and Becker",Sanhe,8340,522613,18,12/14/2019,24,984248,60,8/26/2019,2772,electronics,610527,22,11/23/2019,770108,IT,402665,53,12/17/2019,1793,laptops,"Lubowitz, Smith and O'Kon",Yangong,apple,737874,40,2/24/2020,4022,6/30/2019,331717,5,travel,leisure,10/25/2019,955726,27,food,hobby,7/20/2019,739237,3,6/8/2019,75315,63,10/24/2019,913234,89,9/11/2019,211789,17,international,94897,Countries Prohibited Coverage,2,Repatriation of Remains Coverage,4437410,10,3,2,2639401,Tenant Liability Coverage,902291,Tenant Liability Coverage,2,Ancillary Deductible Coverage,4659573,2,Apartment,7129808,Emergency Medical Coverage,39872,Accidental Death Coverage Child Seat Replacement Coverage,1,type1,879775,3,Car,8840523,,60864,Accidental Death Coverage,6,type2,406553,12,464881,Critical illness cover,58904,Critical illness cover,2,type5,5500003,2,1,2,7795170
1000224,597,6:12,att.net',San Quintin,2020-01-08,3,18,0,1,5,Paid,google.com,opera,mobile,micromax,error: Field 'devicedevicecategory' not found,loan,6,563-155-9510,gold,female,5,70192.28,married,car,no,rented,no,farmer,840,94,74,56,4,0,Blagnac,47,employed,permanent,standard,3/17/2019,20110,62932,78368,81599,81208,32831,35041,84720,80456,52629,76346,93786,8,9,7,9,10,3,9,9,9,8,5,8,22485,food,hobby,2302674,39,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,8456397,3,150,53777,1952489,4,75,982845,3020523,6,25,1352262,105387,1,8655340,1.5,554648,64,1/16/2020,duke,Buckridge and Sons,Severomorsk,9922,571184,57,9/25/2019,yamaha,Barton and Sons,Combita,4650,10542,76,7/23/2019,honda,"Borer, Murazik and Mosciski",Metsavan,1239,684474,12,7/21/2019,92,174955,71,8/27/2019,9084,electronics,950117,31,3/18/2019,935179,food,463061,11,5/27/2019,7535,other electronics,"Langosh, DuBuque and Purdy",Jianyi,motorolla,95009,85,1/28/2020,7456,5/8/2019,979559,99,hobby,tech,12/11/2019,206551,25,tech,travel,2/10/2020,707964,42,9/29/2019,883362,15,3/31/2019,239141,11,8/7/2019,157105,31,domestic,90599,,2,Repatriation of Remains Coverage,2136257,7,2,2,3088537,,805382,,2,Frozen Food Coverage Guaranteed Repairs Coverage Home Assistance Coverage Household removals Coverage,1754300,7,Villa,8039115,Third Party Liability Coverage,59450,Third Party Liability Coverage,3,type1,786547,9,Car,4455083,Accidental Death Coverage,80369,Accidental Death Coverage,10,type5,81896,9,19877,Critical illness cover,98845,Hospital cash,5,type1,2349824,5,3,2,9328077
1000215,507,23:24,comcast.net',Volkhovskiy,2020-01-15,5,17,1,0,9,Paid,youtube.com,edge,mobile,apple,error: Field 'devicedevicecategory' not found,deposits,3,810-923-2191,silver,male,2,49632.48,unmarried,bike,no,rented,no,nurse,664,37,58,66,3,0,Jalālpur,41,employed,permanent,gold,5/10/2019,48486,84328,21662,18680,75065,56932,36861,47057,88005,94176,54621,21585,3,4,2,2,8,8,3,4,10,10,2,5,22871,others,others,1881583,70,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,6556424,4.5,31,1294683,9983355,5,148,1322262,6384141,2,151,491851,5104676,0.5,5110269,3.5,384529,12,8/6/2019,yamaha,Abbott-Jenkins,Rafael Perazza,3268,273794,36,3/4/2020,suzuki,"Rippin, Carroll and Rolfson",Belleville,1720,68117,55,7/21/2019,honda,Ebert and Sons,Qiashui,4956,646885,20,10/7/2019,24,805179,73,6/23/2019,2711,travel,706791,85,6/28/2019,817434,food,93449,38,3/2/2020,7710,mobile,Berge-Watsica,Xindu,huwaei,819093,28,11/11/2019,6017,2/22/2020,544060,93,hobby,food,10/10/2019,651472,99,travel,travel,4/23/2019,107418,89,12/26/2019,894718,52,8/14/2019,305232,74,4/4/2019,566607,12,domestic,27967,Repatriation of Remains Coverage,4,,2467014,5,2,2,1305846,No Claim bonus Coverage Packers Movers Coverage Personal belongings Coverage Stolen Key Coverage,391751,Building Damage Coverage,4,Alternative Accommodation Coverage,3714066,8,Apartment,8323276,Windscreen Damage Coverage,78204,Accidental Death Coverage Child Seat Replacement Coverage,4,type1,201915,3,Motorbike,4486141,,18246,Personal Accident Coverage,8,type1,22283,7,48381,Critical illness cover,22930,Maternity Cover,4,type4,5353225,3,3,1,127254
1000185,264,2:09,verizon.net',Jifeng,2020-02-18,3,67,1,0,8,Display,linkedin.com,brave,tablet,apple,error: Field 'devicedevicecategory' not found,insurance,7,157-992-7073,silver,male,3,34132.29,married,car,no,rented,no,plumber,288,91,26,9,12,1,Verkhov’ye,50,employed,temporary,gold,4/23/2019,34168,76232,37523,79395,37005,58708,59827,13818,47470,52074,35744,48583,7,5,8,1,5,9,10,3,6,4,7,2,23950,food,hospital,4989026,65,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1861878,2.5,59,286604,6078769,1.5,138,1185338,1139028,5,59,112961,4044993,6,7032678,1,301906,33,6/16/2019,yamaha,Zboncak Group,Cipasung,5020,705786,16,1/8/2020,yamaha,"Klein, Vandervort and Gutmann",Sayang Lauq,1251,87677,35,12/20/2019,honda,Beatty-O'Conner,Gornji Petrovci,7912,246551,63,12/23/2019,38,841307,53,7/30/2019,3060,hospital,325654,67,4/13/2019,961233,IT,52388,97,4/18/2019,2062,other electronics,"Aufderhar, Farrell and Bins",Manorom,samsung,984082,39,7/22/2019,8957,1/8/2020,306445,53,others,others,1/29/2020,305387,69,leisure,tech,8/17/2019,565433,21,3/2/2020,330197,91,4/11/2019,489019,39,12/30/2019,591896,52,international,29961,Dental Coverage,1,Accidental Death Avalanche Closure,4876915,2,1,1,2932469,Basic Deductible Coverage Open Content Coverage,462687,Building Damage Coverage,2,Basic Deductible Coverage Open Content Coverage,6256789,1,Apartment,4678064,Third Party Property Damage Coverage,21582,Natural Calamity Coverage,4,type1,744779,4,Car,3080441,Lost Passport Coverage,64967,Accidental Death Coverage,2,type3,451828,5,144026,Critical illness cover,86476,Hospital cash,5,type4,5370829,10,2,2,191841
1000237,184,23:46,comcastbusiness.net',Sayang Lauq,2020-02-11,2,57,1,1,10,Social,linkedin.com,chromium,mobile,lenovo,error: Field 'devicedevicecategory' not found,credit_card,4,828-723-0954,gold,male,2,37314.69,married,bike,yes,own,no,plumber,761,58,36,71,3,1,Bonavista,53,employed,permanent,standard,6/10/2019,77548,91656,65701,76294,76649,10132,62269,63061,75247,60391,86433,33610,3,7,1,10,3,5,7,8,10,4,7,10,22030,food,others,9222588,29,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,7649516,4,104,1604253,963434,0.5,98,850048,1072217,2.5,198,1856145,6488718,5,5250002,0.5,198704,51,11/5/2019,suzuki,Bernier-Carroll,Bieniewice,6627,497343,95,5/8/2019,suzuki,Botsford-Barton,Esperanza,7837,50300,23,10/31/2019,hyundai,Crist-Pacocha,Ludbreg,16,55481,26,9/28/2019,44,339781,61,6/17/2019,2472,travel,810595,66,10/26/2019,484039,travel,372835,81,11/3/2019,5370,mobile,"Reilly, Botsford and Christiansen",Norak,redmi,255147,42,5/1/2019,9698,6/25/2019,371026,41,hobby,hobby,1/2/2020,522360,36,tech,tech,4/11/2019,735286,50,10/2/2019,268396,95,8/15/2019,318789,3,9/18/2019,360850,61,international,91579,,5,Hotel Cancellation Coverage,2958277,11,1,1,1809949,Legal Expense Coverage Living Away Coverage,225457,Basic Deductible Coverage Open Content Coverage,5,No Claim bonus Coverage Packers Movers Coverage Personal belongings Coverage Stolen Key Coverage,2614681,10,Apartment,6762653,Permanent Total Disability Coverage,26824,Life Coverage PassengersFull Loss Damage Coverage,4,type1,787005,8,Car,8408930,,51759,Lost Passport Coverage,6,type4,242892,4,16539,Hospital cash,95765,Maternity Cover,7,type3,3490705,3,4,2,6039282
1000355,243,6:21,att.net',Yūki,2020-01-30,5,12,0,1,8,Direct,google.com,brave,mobile,apple,error: Field 'devicedevicecategory' not found,accounts,10,881-712-5449,silver,female,5,97336.21,unmarried,car,no,own,yes,doctor,398,28,2,24,8,1,Margate,53,employed,permanent,gold,6/8/2019,93192,59933,16264,19282,37246,77874,89783,77497,97556,59339,34587,22121,9,1,4,9,9,7,9,9,9,9,1,9,22770,leisure,leisure,4784643,34,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,878579,5.5,27,430325,8178555,5.5,77,75808,9538033,5.5,147,1327524,8564351,0.5,3068875,3,865770,21,10/21/2019,yamaha,Osinski Inc,Pirassununga,7100,489519,17,12/29/2019,yamaha,Krajcik LLC,Manorom,1201,73841,42,2/26/2020,tata,Price and Sons,CaÃ§ador,1949,521603,32,12/30/2019,56,259397,17,1/17/2020,5366,travel,899122,27,11/20/2019,710218,IT,863679,78,4/26/2019,1879,laptops,"Shanahan, Feest and Grady",Hualingang,motorolla,656371,10,4/3/2019,9862,10/26/2019,136836,74,leisure,food,9/26/2019,314874,64,tech,food,6/9/2019,159651,1,2/23/2020,671162,20,8/27/2019,908868,75,6/12/2019,211746,19,domestic,56900,Terrorist Attack Coverage,5,,1395970,8,4,1,3088235,No Claim bonus Coverage Packers Movers Coverage Personal belongings Coverage Stolen Key Coverage,299004,Basic Deductible Coverage Open Content Coverage,2,Domestic help Coverage,3714277,11,Villa,9210392,Number Plate Coverage,84283,Theft Coverage,1,type5,267646,6,Motorbike,1931098,Personal Accident Coverage,46951,Accidental Death Coverage,1,type4,354572,4,282174,Personal Accident cover,28273,Hospital cash,9,type1,3706147,12,4,2,2112519
1000152,176,19:32,cox.net',Jiangtou,2020-01-04,4,11,0,0,10,Paid,youtube.com,chromium,tablet,samsung,error: Field 'devicedevicecategory' not found,insurance,10,301-862-6314,gold,male,3,55496.42,married,car,yes,own,no,unskilled_labour,587,47,79,59,15,0,Strängnäs,41,business,permanent,standard,3/7/2019,44811,50153,72033,72327,99281,23777,69503,24665,26870,68565,12196,84951,1,5,10,9,3,2,7,4,3,9,4,5,25281,food,hobby,1439422,64,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,8736886,1,82,93779,5749190,4,100,608148,8457055,3.5,74,1629287,7088050,2.5,8772875,5.5,930567,43,10/21/2019,duke,Bednar-Crist,Zhenjiang,9679,551868,35,11/30/2019,duke,Rippin Group,Horred,8208,55378,92,8/21/2019,honda,"Rath, Johns and Quigley",Benisheikh,8623,268102,38,7/16/2019,60,723753,80,9/6/2019,2649,hospital,747186,38,9/15/2019,752836,IT,741471,19,10/19/2019,5556,mobile,Veum Inc,Beidajie,redmi,831602,87,7/31/2019,1466,12/23/2019,808641,47,tech,others,5/9/2019,385989,80,food,leisure,1/26/2020,683097,12,5/31/2019,646611,16,8/7/2019,11890,8,4/30/2019,725193,48,international,73859,,4,Countries Prohibited Coverage,3788622,9,3,2,4386403,Domestic help Coverage,136654,Alternative Accommodation Coverage,4,Ancillary Deductible Coverage,4009106,4,Villa,3851912,Off Road Coverage,94716,Third Party Property Damage Coverage,4,type1,252902,12,Motorbike,4418248,,21295,Personal Accident Coverage,4,type4,273444,5,442394,Maternity Cover,100826,Hospital cash,5,type5,6577410,4,1,2,9934214
